prompt_idx,L_top,head,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
6,20,0,489.1982727050781,-74.86963653564453,-75.2857666015625,-0.0007377304383050452,ok,
6,20,1,489.1982727050781,-74.86963653564453,-75.32196044921875,-0.000801896201085221,ok,
6,20,2,489.1982727050781,-74.86963653564453,-75.07787322998047,-0.00036916954665306095,ok,
6,20,3,489.1982727050781,-74.86963653564453,-75.60484313964844,-0.0013034008706390495,ok,
6,20,4,489.1982727050781,-74.86963653564453,-75.52096557617188,-0.0011546996910426638,ok,
6,20,5,489.1982727050781,-74.86963653564453,-75.20433044433594,-0.0005933574720496493,ok,
6,20,6,489.1982727050781,-74.86963653564453,-74.97711181640625,-0.00019053606667039164,ok,
6,20,7,489.1982727050781,-74.86963653564453,-75.21205139160156,-0.00060704544674053,ok,
6,20,8,489.1982727050781,-74.86963653564453,-74.71772003173828,0.0002693230751430992,ok,
6,20,9,489.1982727050781,-74.86963653564453,-75.4788818359375,-0.0010800921135773495,ok,
6,20,10,489.1982727050781,-74.86963653564453,-73.50324249267578,0.002422392801618546,ok,
6,20,11,489.1982727050781,-74.86963653564453,-75.62718200683594,-0.0013430040227091075,ok,
6,20,12,489.1982727050781,-74.86963653564453,-75.71037292480469,-0.0014904878923033397,ok,
6,20,13,489.1982727050781,-74.86963653564453,-75.10454559326172,-0.0004164552774033761,ok,
6,20,14,489.1982727050781,-74.86963653564453,-75.0789794921875,-0.000371130768323197,ok,
6,20,15,489.1982727050781,-74.86963653564453,-74.42193603515625,0.0007936996470707214,ok,
6,20,16,489.1982727050781,-74.86963653564453,-74.8054428100586,0.00011380495953465431,ok,
6,20,17,489.1982727050781,-74.86963653564453,-75.0780029296875,-0.000369399482986801,ok,
6,20,18,489.1982727050781,-74.86963653564453,-75.64391326904297,-0.001372665809761579,ok,
6,20,19,489.1982727050781,-74.86963653564453,-75.51806640625,-0.0011495599377002383,ok,
6,20,20,489.1982727050781,-74.86963653564453,-75.08517456054688,-0.000382113609675959,ok,
6,20,21,489.1982727050781,-74.86963653564453,-75.76241302490234,-0.0015827464647998786,ok,
6,20,22,489.1982727050781,-74.86963653564453,-75.30078125,-0.0007643489503521333,ok,
6,20,23,489.1982727050781,-74.86963653564453,-74.8485336303711,3.741199406618182e-05,ok,
6,20,24,489.1982727050781,-74.86963653564453,-75.5067367553711,-0.0011294743226647067,ok,
6,20,25,489.1982727050781,-74.86963653564453,-75.22836303710938,-0.0006359633221250191,ok,
6,20,26,489.1982727050781,-74.86963653564453,-75.02045440673828,-0.00026737537913965373,ok,
6,20,27,489.1982727050781,-74.86963653564453,-74.63441467285156,0.00041700982973769037,ok,
6,20,28,489.1982727050781,-74.86963653564453,-75.26337432861328,-0.000698032606568153,ok,
6,20,29,489.1982727050781,-74.86963653564453,-74.76364135742188,0.00018791208733241648,ok,
6,20,30,489.1982727050781,-74.86963653564453,-75.4892349243164,-0.001098446443276485,ok,
6,20,31,489.1982727050781,-74.86963653564453,-75.56105041503906,-0.0012257635438350425,ok,
6,20,32,489.1982727050781,-74.86963653564453,-75.36103820800781,-0.0008711746658744414,ok,
6,20,33,489.1982727050781,-74.86963653564453,-75.314453125,-0.000788586945061677,ok,
6,20,34,489.1982727050781,-74.86963653564453,-75.12791442871094,-0.00045788439447666415,ok,
6,20,35,489.1982727050781,-74.86963653564453,-75.3900375366211,-0.0009225857249653875,ok,
6,20,36,489.1982727050781,-74.86963653564453,-75.0318603515625,-0.0002875962508420911,ok,
6,20,37,489.1982727050781,-74.86963653564453,-75.34295654296875,-0.0008391188358177346,ok,
6,20,38,489.1982727050781,-74.86963653564453,-74.91093444824219,-7.3214433796183e-05,ok,
6,20,39,489.1982727050781,-74.86963653564453,-74.9618911743164,-0.00016355236162265746,ok,
7,20,0,457.40216064453125,-84.02233123779297,-83.96065521240234,0.00011391436167987384,ok,
7,20,1,457.40216064453125,-84.02233123779297,-83.77623748779297,0.0004545301398250879,ok,
7,20,2,457.40216064453125,-84.02233123779297,-83.9146728515625,0.00019884284483729587,ok,
7,20,3,457.40216064453125,-84.02233123779297,-83.95309448242188,0.00012787887583434626,ok,
7,20,4,457.40216064453125,-84.02233123779297,-84.30662536621094,-0.0005250854600788148,ok,
7,20,5,457.40216064453125,-84.02233123779297,-84.01673126220703,1.0343040756188447e-05,ok,
7,20,6,457.40216064453125,-84.02233123779297,-83.59362030029297,0.0007918203626318,ok,
