prompt_idx,L_patch,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
6,20,493.2138366699219,-73.79511260986328,-12.1715087890625,0.10868188923486144,ok,
6,24,493.2138366699219,-73.79511260986328,-62.64500427246094,0.019664783689155547,ok,
6,28,493.2138366699219,-73.79511260986328,-76.95426940917969,-0.005571617173466429,ok,
6,32,493.2138366699219,-73.79511260986328,-74.70697784423828,-0.001608202543422377,ok,
6,36,493.2138366699219,-73.79511260986328,-73.36673736572266,0.0007554999699471187,ok,
7,0,457.109130859375,-84.28288269042969,-83.56678771972656,0.0013226921579574588,ok,
7,4,457.109130859375,-84.28288269042969,-83.86021423339844,0.0007807068564973708,ok,
7,8,457.109130859375,-84.28288269042969,-85.01481628417969,-0.0013519475268038224,ok,
7,12,457.109130859375,-84.28288269042969,-87.7259521484375,-0.006359660600518023,ok,
7,16,457.109130859375,-84.28288269042969,-85.68992614746094,-0.002598936485607782,ok,
7,20,457.109130859375,-84.28288269042969,-80.73180389404297,0.006559163614370609,ok,
7,24,457.109130859375,-84.28288269042969,-86.71021270751953,-0.0044834980131574186,ok,
7,28,457.109130859375,-84.28288269042969,-84.34861755371094,-0.00012141823602132395,ok,
7,32,457.109130859375,-84.28288269042969,-83.60440063476562,0.001253217703038108,ok,
7,36,457.109130859375,-84.28288269042969,-84.0927734375,0.0003511489792455142,ok,
